# t x y z qx qy qz qw
1726601193.117403984 7.919441896 0.132020549 1.761297600 -0.032081821 -0.147490487 -0.002503082 0.988539856
1726601193.119802952 7.975457744 0.133442315 1.777470181 -0.032046755 -0.147932034 -0.002462790 0.988475115
1726601193.122369051 8.031426135 0.134870090 1.793681866 -0.032011461 -0.148372990 -0.002422336 0.988410266
1726601193.124871969 8.087347056 0.136303863 1.809932523 -0.031975977 -0.148813354 -0.002381738 0.988345309
1726601193.127285004 8.143220495 0.137743618 1.826222019 -0.031940334 -0.149253120 -0.002341011 0.988280244
1726601193.129822969 8.199046348 0.139189340 1.842550194 -0.031904541 -0.149692287 -0.002300163 0.988215072
1726601193.132392883 8.254824606 0.140641014 1.858916916 -0.031868626 -0.150130852 -0.002259209 0.988149793
1726601193.134850025 8.310555255 0.142098628 1.875322051 -0.031832615 -0.150568811 -0.002218162 0.988084408
1726601193.137383938 8.366238285 0.143562167 1.891765467 -0.031796532 -0.151006161 -0.002177036 0.988018917
1726601193.139853001 8.421873685 0.145031617 1.908247032 -0.031760398 -0.151442901 -0.002135843 0.987953320
1726601193.142369986 8.477461445 0.146506965 1.924766613 -0.031724231 -0.151879029 -0.002094594 0.987887618
1726601193.144829035 8.533001554 0.147988196 1.941324077 -0.031688049 -0.152314540 -0.002053301 0.987821812
1726601193.147370100 8.588494003 0.149475297 1.957919292 -0.031651867 -0.152749435 -0.002011975 0.987755902
1726601193.149836063 8.643937888 0.150968231 1.974551843 -0.031615495 -0.153183710 -0.001970552 0.987689895
1726601193.152303934 8.699333203 0.152466982 1.991221595 -0.031578964 -0.153617362 -0.001929046 0.987623792
1726601193.154778957 8.754679942 0.153971536 2.007928411 -0.031542300 -0.154050391 -0.001887474 0.987557592
1726601193.157361984 8.809978098 0.155481880 2.024672157 -0.031505528 -0.154482793 -0.001845845 0.987491297
1726601193.159832001 8.865227665 0.156997999 2.041452696 -0.031468670 -0.154914567 -0.001804173 0.987424906
1726601193.162333012 8.920428639 0.158519878 2.058269893 -0.031431747 -0.155345712 -0.001762469 0.987358420
1726601193.165069103 8.975581014 0.160047503 2.075123614 -0.031394777 -0.155776226 -0.001720744 0.987291839
1726601193.167337894 9.030684784 0.161580860 2.092013722 -0.031357775 -0.156206106 -0.001679008 0.987225163
1726601193.169812918 9.085739067 0.163119910 2.108939798 -0.031320557 -0.156635353 -0.001637197 0.987158401
1726601193.172333002 9.140743861 0.164664638 2.125901703 -0.031283154 -0.157063962 -0.001595326 0.987091552
1726601193.174829960 9.195699164 0.166215029 2.142899300 -0.031245593 -0.157491933 -0.001553408 0.987024615
1726601193.177311897 9.250604975 0.167771069 2.159932450 -0.031207900 -0.157919265 -0.001511455 0.986957592
1726601193.179845095 9.305461294 0.169332741 2.177001014 -0.031170097 -0.158345956 -0.001469478 0.986890482
1726601193.182284117 9.360268119 0.170900032 2.194104856 -0.031132204 -0.158772004 -0.001427489 0.986823287
1726601193.184828043 9.415025450 0.172472927 2.211243838 -0.031094239 -0.159197409 -0.001385497 0.986756005
1726601193.187315941 9.469733288 0.174051409 2.228417821 -0.031056221 -0.159622170 -0.001343514 0.986688638
1726601193.189810991 9.524391632 0.175635466 2.245626668 -0.031018162 -0.160046284 -0.001301545 0.986621187
1726601193.192361116 9.579000483 0.177225080 2.262870242 -0.030980079 -0.160469754 -0.001259602 0.986553651
1726601193.194844007 9.633559841 0.178820237 2.280148406 -0.030941982 -0.160892574 -0.001217691 0.986486032
1726601193.197354078 9.688069709 0.180420923 2.297461022 -0.030903882 -0.161314747 -0.001175821 0.986418329
1726601193.199889898 9.742530087 0.182027122 2.314807954 -0.030865790 -0.161736270 -0.001133997 0.986350544
1726601193.202331066 9.796940977 0.183638818 2.332189064 -0.030827714 -0.162157145 -0.001092228 0.986282677
1726601193.204862118 9.851302380 0.185255998 2.349604216 -0.030789663 -0.162577368 -0.001050517 0.986214729
1726601193.207366943 9.905614300 0.186878645 2.367053274 -0.030751643 -0.162996940 -0.001008873 0.986146701
1726601193.209824085 9.959876393 0.188506734 2.384535983 -0.030713582 -0.163415860 -0.000967270 0.986078596
1726601193.212358952 10.014088663 0.190140251 2.402052205 -0.030675491 -0.163834128 -0.000925714 0.986010414
1726601193.214795113 10.068251113 0.191779178 2.419601805 -0.030637384 -0.164251743 -0.000884213 0.985942155
1726601193.217391968 10.122363749 0.193423503 2.437184643 -0.030599267 -0.164668703 -0.000842774 0.985873822
1726601193.219820976 10.176426575 0.195073208 2.454800583 -0.030561153 -0.165085009 -0.000801401 0.985805414
1726601193.222347975 10.230439596 0.196728278 2.472449488 -0.030523046 -0.165500661 -0.000760100 0.985736931
1726601193.224925995 10.284402817 0.198388699 2.490131220 -0.030484955 -0.165915658 -0.000718877 0.985668375
1726601193.227318048 10.338316243 0.200054454 2.507845644 -0.030446886 -0.166329999 -0.000677736 0.985599746
1726601193.229824066 10.392178944 0.201725499 2.525592297 -0.030408633 -0.166743684 -0.000636598 0.985531052
1726601193.232326984 10.445990927 0.203401819 2.543371039 -0.030370218 -0.167156711 -0.000595473 0.985462292
1726601193.234833002 10.499752201 0.205083396 2.561181732 -0.030331661 -0.167569080 -0.000554369 0.985393468
1726601193.237313032 10.553462777 0.206770216 2.579024235 -0.030292981 -0.167980791 -0.000513296 0.985324579
1726601193.239882946 10.607122663 0.208462262 2.596898409 -0.030254197 -0.168391841 -0.000472260 0.985255626
1726601193.242346048 10.660731870 0.210159518 2.614804114 -0.030215323 -0.168802233 -0.000431269 0.985186609
1726601193.244877100 10.714290407 0.211861968 2.632741213 -0.030176372 -0.169211964 -0.000390330 0.985117529
1726601193.247327089 10.767798285 0.213569596 2.650709566 -0.030137360 -0.169621036 -0.000349450 0.985048385
1726601193.249829054 10.821255515 0.215282386 2.668709035 -0.030098295 -0.170029446 -0.000308633 0.984979180
1726601193.252330065 10.874662107 0.217000322 2.686739481 -0.030059190 -0.170437195 -0.000267885 0.984909913
1726601193.254842997 10.928018072 0.218723388 2.704800766 -0.030020053 -0.170844282 -0.000227211 0.984840584
1726601193.257333040 10.981323423 0.220451567 2.722892754 -0.029980893 -0.171250706 -0.000186615 0.984771195
1726601193.259911060 11.034578171 0.222184843 2.741015304 -0.029941717 -0.171656469 -0.000146101 0.984701746
1726601193.262319088 11.087782327 0.223923200 2.759168282 -0.029902533 -0.172061567 -0.000105674 0.984632238
1726601193.264848948 11.140935904 0.225666622 2.777351548 -0.029863347 -0.172466005 -0.000065335 0.984562671
1726601193.267322063 11.194038914 0.227415092 2.795564966 -0.029824165 -0.172869777 -0.000025089 0.984493047
1726601193.269813061 11.247091285 0.229168592 2.813808369 -0.029784972 -0.173272886 0.000015069 0.984423365
1726601193.272320986 11.300093033 0.230927104 2.832081619 -0.029745774 -0.173675331 0.000055138 0.984353628
1726601193.274835110 11.353044168 0.232690614 2.850384581 -0.029706578 -0.174077112 0.000095113 0.984283836
1726601193.277432919 11.405944706 0.234459104 2.868717117 -0.029667387 -0.174478228 0.000134992 0.984213989
1726601193.279810905 11.458794660 0.236232558 2.887079091 -0.029628206 -0.174878679 0.000174773 0.984144088
1726601193.282337904 11.511594045 0.238010960 2.905470366 -0.029589040 -0.175278465 0.000214455 0.984074135
1726601193.284878969 11.564342874 0.239794293 2.923890808 -0.029549892 -0.175677586 0.000254033 0.984004129
1726601193.287333965 11.617041163 0.241582541 2.942340279 -0.029510764 -0.176076040 0.000293509 0.983934071
1726601193.289885998 11.669688759 0.243375681 2.960818583 -0.029471622 -0.176473829 0.000332897 0.983863964
1726601193.292376995 11.722285678 0.245173698 2.979325585 -0.029432471 -0.176870952 0.000372192 0.983793808
1726601193.294840097 11.774831937 0.246976575 2.997861147 -0.029393316 -0.177267409 0.000411394 0.983723604
1726601193.297322989 11.827327550 0.248784295 3.016425135 -0.029354163 -0.177663199 0.000450501 0.983653353
1726601193.299830914 11.879772536 0.250596841 3.035017414 -0.029315014 -0.178058322 0.000489513 0.983583054
1726601193.302320957 11.932166909 0.252414198 3.053637848 -0.029275874 -0.178452777 0.000528425 0.983512710
1726601193.304815054 11.984510688 0.254236349 3.072286302 -0.029236746 -0.178846567 0.000567238 0.983442320
1726601193.307390928 12.036803889 0.256063276 3.090962641 -0.029197633 -0.179239688 0.000605952 0.983371886
1726601193.310002089 12.089046363 0.257894958 3.109666670 -0.029158499 -0.179632142 0.000644580 0.983301409
1726601193.312340021 12.141238130 0.259731378 3.128398252 -0.029119352 -0.180023928 0.000683122 0.983230890
1726601193.314868927 12.193379207 0.261572519 3.147157254 -0.029080195 -0.180415045 0.000721576 0.983160329
1726601193.317344904 12.245469612 0.263418365 3.165943541 -0.029041032 -0.180805495 0.000759940 0.983089728
1726601193.319833994 12.297509365 0.265268899 3.184756978 -0.029001869 -0.181195275 0.000798213 0.983019088
1726601193.322364092 12.349498484 0.267124105 3.203597432 -0.028962709 -0.181584388 0.000836395 0.982948408
1726601193.324963093 12.401436989 0.268983964 3.222464770 -0.028923555 -0.181972831 0.000874485 0.982877689
1726601193.327342033 12.453324900 0.270848462 3.241358856 -0.028884410 -0.182360606 0.000912481 0.982806933
1726601193.329854012 12.505162070 0.272717575 3.260279496 -0.028845240 -0.182747711 0.000950402 0.982736141
1726601193.332309961 12.556948521 0.274591287 3.279226555 -0.028806050 -0.183134146 0.000988244 0.982665314
1726601193.334847927 12.608684274 0.276469580 3.298199900 -0.028766845 -0.183519912 0.001026007 0.982594452
1726601193.337368011 12.660369348 0.278352438 3.317199398 -0.028727631 -0.183905008 0.001063689 0.982523557
1726601193.339817047 12.712003766 0.280239844 3.336224915 -0.028688410 -0.184289433 0.001101292 0.982452628
1726601193.342442989 12.763587548 0.282131782 3.355276320 -0.028649188 -0.184673189 0.001138810 0.982381667
1726601193.344886065 12.815120716 0.284028234 3.374353478 -0.028609967 -0.185056274 0.001176248 0.982310675
1726601193.347373962 12.866603292 0.285929184 3.393456260 -0.028570752 -0.185438688 0.001213603 0.982239651
1726601193.349865913 12.918035216 0.287834612 3.412584499 -0.028531526 -0.185820430 0.001250884 0.982168598
1726601193.352324963 12.969416510 0.289744501 3.431738064 -0.028492292 -0.186201502 0.001288090 0.982097516
1726601193.354841948 13.020747197 0.291658834 3.450916823 -0.028453058 -0.186581903 0.001325220 0.982026405
1726601193.357424021 13.072027300 0.293577595 3.470120645 -0.028413823 -0.186961632 0.001362276 0.981955267
1726601193.359843969 13.123256842 0.295500766 3.489349398 -0.028374594 -0.187340690 0.001399255 0.981884102
1726601193.362348080 13.174435846 0.297428331 3.508602951 -0.028335371 -0.187719075 0.001436159 0.981812911
1726601193.364918947 13.225564336 0.299360274 3.527881172 -0.028296160 -0.188096788 0.001472987 0.981741695
1726601193.367331982 13.276642335 0.301296576 3.547183932 -0.028256961 -0.188473830 0.001509741 0.981670454
1726601193.369838953 13.327669787 0.303237220 3.566511066 -0.028217759 -0.188850199 0.001546426 0.981599190
1726601193.372437000 13.378646714 0.305182186 3.585862446 -0.028178556 -0.189225896 0.001583046 0.981527902
1726601193.374887943 13.429573143 0.307131460 3.605237940 -0.028139358 -0.189600919 0.001619600 0.981456594
1726601193.377407074 13.480449098 0.309085023 3.624637418 -0.028100166 -0.189975269 0.001656086 0.981385263
1726601193.379882097 13.531274603 0.311042860 3.644060750 -0.028060985 -0.190348946 0.001692506 0.981313913
1726601193.382348061 13.582049684 0.313004953 3.663507807 -0.028021815 -0.190721950 0.001728862 0.981242542
1726601193.384922981 13.632774367 0.314971286 3.682978459 -0.027982662 -0.191094281 0.001765149 0.981171153
1726601193.387377024 13.683448678 0.316941841 3.702472578 -0.027943525 -0.191465938 0.001801373 0.981099745
1726601193.389890909 13.734072560 0.318916600 3.721990001 -0.027904390 -0.191836921 0.001837541 0.981028320
1726601193.392396927 13.784646040 0.320895545 3.741530599 -0.027865260 -0.192207229 0.001873653 0.980956879
1726601193.394881964 13.835169145 0.322878660 3.761094244 -0.027826136 -0.192576864 0.001909709 0.980885422
1726601193.397377014 13.885641902 0.324865928 3.780680807 -0.027787024 -0.192945823 0.001945710 0.980813950
1726601193.399868011 13.936064337 0.326857331 3.800290160 -0.027747926 -0.193314109 0.001981656 0.980742464
1726601193.402348995 13.986436477 0.328852855 3.819922174 -0.027708845 -0.193681719 0.002017547 0.980670965
1726601193.405150890 14.036758350 0.330852481 3.839576723 -0.027669781 -0.194048655 0.002053384 0.980599452
1726601193.407392025 14.087029984 0.332856193 3.859253678 -0.027630741 -0.194414915 0.002089168 0.980527928
1726601193.409894943 14.137251405 0.334863975 3.878952912 -0.027591722 -0.194780501 0.002124899 0.980456393
1726601193.412431955 14.187422643 0.336875810 3.898674298 -0.027552731 -0.195145410 0.002160577 0.980384847
1726601193.414885998 14.237543724 0.338891681 3.918417709 -0.027513767 -0.195509645 0.002196205 0.980313291
1726601193.417363882 14.287614678 0.340911572 3.938183018 -0.027474832 -0.195873204 0.002231782 0.980241726
1726601193.419929981 14.337635532 0.342935467 3.957970100 -0.027435928 -0.196236087 0.002267309 0.980170152
1726601193.422391891 14.387606316 0.344963349 3.977778827 -0.027397057 -0.196598294 0.002302788 0.980098571
